team_name,phase,count,success_rate,percent_of_total,count_percentile,success_rate_percentile,percent_of_total_percentile
Austin FC,possession_freekick,351,0.6169590643274854,0.03257842955262669,0.8333333333333334,0.16666666666666666,0.8666666666666667
Austin FC,possession_throw_in,410,0.4836272040302267,0.03805457583070355,0.5166666666666667,0.43333333333333335,0.5333333333333333
Austin FC,progression,1881,0.49816625916870416,0.17458696862817896,0.6,0.9,0.7
Austin FC,securing_possession,782,0.5887978142076503,0.07258214219417115,0.03333333333333333,0.9,0.03333333333333333
Austin FC,short_goalkick,178,0.6590909090909091,0.016521254872842027,0.8666666666666667,1.0,0.9
CF Montreal,accelerated_possession,376,0.3770491803278688,0.033700815631442144,0.3,0.6,0.23333333333333334
CF Montreal,attacking_freekick,151,0.8543046357615894,0.013534104149861073,0.7333333333333333,0.7666666666666667,0.8
CF Montreal,attacking_freekick_second_phase,37,0.21621621621621623,0.0033163036658599983,0.5833333333333334,0.3,0.6
CF Montreal,attacking_throw_in,151,0.7567567567567568,0.013534104149861073,0.6333333333333333,0.9333333333333333,0.6666666666666666
CF Montreal,buildup,1325,0.6345826235093697,0.11875952316931075,0.5,0.6666666666666666,0.5
CF Montreal,corner,141,0.28368794326241137,0.012637805861790804,0.21666666666666667,1.0,0.2
CF Montreal,corner_second_phase,54,0.2037037037037037,0.004840010755579457,0.13333333333333333,0.03333333333333333,0.13333333333333333
CF Montreal,counterattack,37,0.5405405405405406,0.0033163036658599983,0.18333333333333332,0.9666666666666667,0.16666666666666666
CF Montreal,finishing,637,0.39072847682119205,0.05709420095007618,0.6333333333333333,0.9,0.6
CF Montreal,high_transition,327,0.37383177570093457,0.02930895401989782,0.6333333333333333,0.6666666666666666,0.5666666666666667
CF Montreal,kickoff,95,0.48936170212765956,0.008514833736667563,0.1,0.23333333333333334,0.13333333333333333
CF Montreal,long_goalkick,112,0.48214285714285715,0.010038540826387022,0.8666666666666667,0.8666666666666667,0.8333333333333334
CF Montreal,possession_freekick,328,0.6971608832807571,0.02939858384870485,0.6333333333333333,0.9666666666666667,0.6666666666666666
CF Montreal,possession_throw_in,418,0.5398009950248757,0.037465268441337275,0.5666666666666667,0.9333333333333333,0.43333333333333335
CF Montreal,progression,1889,0.42724458204334365,0.16931074661647397,0.6333333333333333,0.26666666666666666,0.5
CF Montreal,securing_possession,957,0.5486425339366516,0.08577574616832481,0.5,0.4666666666666667,0.6
CF Montreal,short_goalkick,127,0.5238095238095238,0.011382988258492426,0.06666666666666667,0.36666666666666664,0.06666666666666667
Charlotte,accelerated_possession,439,0.3767772511848341,0.0400401313389274,0.9666666666666667,0.5666666666666667,0.9333333333333333
Charlotte,attacking_freekick,107,0.8207547169811321,0.009759211966435607,0.1,0.5333333333333333,0.13333333333333333
