team_name,phase,count,success_rate,percent_of_total,success_rate_percentile,count_percentile,percent_of_total_percentile
Houston Dynamo,penalty,4,0.0,0.0004045307443365696,0.5166666666666667,0.38333333333333336,0.4666666666666667
Houston Dynamo,possession_freekick,345,0.6144927536231884,0.034890776699029125,0.23333333333333334,0.8,0.9333333333333333
Houston Dynamo,possession_throw_in,401,0.5286783042394015,0.0405542071197411,0.8666666666666667,0.4,0.7666666666666667
Houston Dynamo,progression,1495,0.4461538461538462,0.1511933656957929,0.4,0.36666666666666664,0.5333333333333333
Houston Dynamo,securing_possession,832,0.5324519230769231,0.08414239482200647,0.13333333333333333,0.23333333333333334,0.6666666666666666
Houston Dynamo,short_goalkick,143,0.4965034965034965,0.014461974110032362,0.23333333333333334,0.3333333333333333,0.4
Inter Miami,accelerated_possession,447,0.41834451901565994,0.041058142739046566,0.8666666666666667,0.9333333333333333,0.9
Inter Miami,attacking_freekick,106,0.9056603773584906,0.009736382841921559,1.0,0.13333333333333333,0.13333333333333333
Inter Miami,attacking_freekick_second_phase,32,0.375,0.0029392853862404704,1.0,0.4666666666666667,0.4
Inter Miami,attacking_throw_in,115,0.6434782608695652,0.01056305685680169,0.3,0.1,0.03333333333333333
Inter Miami,buildup,1370,0.6489051094890511,0.12583815559842013,0.8333333333333334,0.9666666666666667,0.9666666666666667
Inter Miami,corner,168,0.18452380952380953,0.015431248277762469,0.3333333333333333,0.6166666666666667,0.5
Inter Miami,corner_second_phase,69,0.463768115942029,0.006337834114081014,1.0,0.3,0.2
Inter Miami,counterattack,35,0.34285714285714286,0.0032148433912005145,0.13333333333333333,0.11666666666666667,0.1
Inter Miami,finishing,688,0.34593023255813954,0.0631946358041701,0.2,0.8333333333333334,0.7333333333333333
Inter Miami,high_transition,370,0.3972972972972973,0.03398548727840544,0.8666666666666667,0.9666666666666667,0.9666666666666667
Inter Miami,kickoff,121,0.5537190082644629,0.011114172866721778,0.5666666666666667,0.7333333333333333,0.5666666666666667
Inter Miami,long_goalkick,44,0.4772727272727273,0.004041517406080646,0.9,0.1,0.1
Inter Miami,penalty,4,0.0,0.0003674106732800588,0.5166666666666667,0.38333333333333336,0.3333333333333333
Inter Miami,possession_freekick,327,0.6850152905198776,0.030035822540644807,0.7666666666666667,0.6,0.4
Inter Miami,possession_throw_in,376,0.523936170212766,0.03453660328832553,0.8333333333333334,0.16666666666666666,0.1
Inter Miami,progression,1791,0.44276940256839753,0.16450812896114633,0.3,0.9333333333333333,0.9333333333333333
Inter Miami,securing_possession,886,0.5733634311512416,0.08138146413153302,0.9333333333333333,0.6666666666666666,0.36666666666666664
Inter Miami,short_goalkick,165,0.5818181818181818,0.015155690272802424,0.8,0.5,0.5
LA Galaxy,accelerated_possession,370,0.42702702702702705,0.03668815071888944,1.0,0.36666666666666664,0.43333333333333335
LA Galaxy,attacking_freekick,113,0.831858407079646,0.011204759543877046,0.5666666666666667,0.23333333333333334,0.3333333333333333
LA Galaxy,attacking_freekick_second_phase,32,0.3125,0.003173029251363411,0.7666666666666667,0.4666666666666667,0.5
LA Galaxy,attacking_throw_in,107,0.6728971962616822,0.010609816559246405,0.4666666666666667,0.03333333333333333,0.06666666666666667
LA Galaxy,buildup,1178,0.5823429541595926,0.11680713931581557,0.1,0.5666666666666667,0.7666666666666667
LA Galaxy,corner,184,0.13043478260869565,0.018244918195339615,0.06666666666666667,0.9,0.9333333333333333
LA Galaxy,corner_second_phase,87,0.2988505747126437,0.008626673277144274,0.36666666666666664,0.8333333333333334,0.9333333333333333
LA Galaxy,counterattack,46,0.34782608695652173,0.004561229548834904,0.18333333333333332,0.6166666666666667,0.7333333333333333
LA Galaxy,finishing,638,0.38087774294670845,0.063262270699058,0.7666666666666667,0.7,0.7666666666666667
LA Galaxy,high_transition,275,0.38181818181818183,0.027268220128904314,0.8333333333333334,0.26666666666666666,0.3333333333333333
LA Galaxy,kickoff,131,0.6106870229007634,0.012989588497768963,0.9,0.85,0.9333333333333333
LA Galaxy,long_goalkick,64,0.390625,0.006346058502726822,0.4,0.3,0.3
LA Galaxy,penalty,3,0.0,0.0002974714923153198,0.5166666666666667,0.15,0.23333333333333334
LA Galaxy,possession_freekick,306,0.6274509803921569,0.030342092216162617,0.4,0.38333333333333336,0.4666666666666667
LA Galaxy,possession_throw_in,407,0.47665847665847666,0.04035696579077838,0.36666666666666664,0.5833333333333334,0.7
LA Galaxy,progression,1601,0.4509681449094316,0.15875061973227567,0.5666666666666667,0.5666666666666667,0.8
LA Galaxy,securing_possession,838,0.581145584725537,0.08309370352007933,1.0,0.3333333333333333,0.4
LA Galaxy,short_goalkick,172,0.45348837209302323,0.017055032226078334,0.03333333333333333,0.6,0.7
LAFC,accelerated_possession,406,0.3694581280788177,0.03869614944719787,0.5666666666666667,0.6833333333333333,0.6666666666666666
LAFC,attacking_freekick,99,0.8585858585858586,0.009435760579489135,0.7666666666666667,0.1,0.1
LAFC,attacking_freekick_second_phase,28,0.35714285714285715,0.002668699961875715,0.9666666666666667,0.21666666666666667,0.23333333333333334
LAFC,attacking_throw_in,123,0.5284552845528455,0.011723217689668318,0.06666666666666667,0.2,0.16666666666666666
LAFC,buildup,1174,0.6277683134582623,0.11189477697293176,0.6333333333333333,0.5,0.4
LAFC,corner,154,0.2077922077922078,0.014677849790316432,0.5,0.36666666666666664,0.3
LAFC,corner_second_phase,77,0.2857142857142857,0.007338924895158216,0.3,0.5,0.4666666666666667
LAFC,counterattack,36,0.3611111111111111,0.003431185665268776,0.36666666666666664,0.18333333333333332,0.2
LAFC,finishing,674,0.35311572700296734,0.06423942051086542,0.3333333333333333,0.8,0.8333333333333334
LAFC,high_transition,305,0.3639344262295082,0.029069767441860465,0.6666666666666666,0.5666666666666667,0.5333333333333333
LAFC,kickoff,90,0.5111111111111111,0.00857796416317194,0.4,0.06666666666666667,0.1
LAFC,long_goalkick,74,0.40540540540540543,0.007052992756385818,0.5333333333333333,0.36666666666666664,0.4
LAFC,penalty,9,0.0,0.000857796416317194,0.5166666666666667,0.9,0.9
LAFC,possession_freekick,316,0.6455696202531646,0.030118185284025923,0.5666666666666667,0.4666666666666667,0.43333333333333335
LAFC,possession_throw_in,398,0.4748743718592965,0.0379336637438048,0.3,0.35,0.3
LAFC,progression,1715,0.48746355685131193,0.16345787266488754,0.9,0.8333333333333334,0.8666666666666667
LAFC,securing_possession,891,0.5645342312008979,0.0849218452154022,0.7,0.7333333333333333,0.7333333333333333
LAFC,short_goalkick,128,0.5390625,0.012199771254288982,0.5,0.21666666666666667,0.2
Minnesota United,accelerated_possession,242,0.3677685950413223,0.024800163968026236,0.5,0.03333333333333333,0.03333333333333333
Minnesota United,attacking_freekick,247,0.8502024291497976,0.02531256405001025,0.7,1.0,1.0
Minnesota United,attacking_freekick_second_phase,74,0.3108108108108108,0.007583521213363394,0.7333333333333333,1.0,1.0
Minnesota United,attacking_throw_in,184,0.8478260869565217,0.01885632301701168,1.0,0.9333333333333333,0.9666666666666667
Minnesota United,buildup,1024,0.5888671875,0.10493953679032589,0.26666666666666666,0.06666666666666667,0.2
Minnesota United,corner,155,0.23225806451612904,0.015884402541504406,0.7666666666666667,0.4,0.6666666666666666
Minnesota United,corner_second_phase,73,0.3424657534246575,0.007481041196966591,0.6333333333333333,0.3333333333333333,0.6333333333333333
Minnesota United,counterattack,59,0.3559322033898305,0.006046320967411355,0.26666666666666666,0.95,1.0
